马家堡  翠林二里 1室1厅,https://www.danke.com/room/1678174952.html,建筑面积约43㎡,2楼,4号线大兴线,马家堡站,750米,https://public.danke.com.cn/public-20181106-FnLaYeLP7warP_P9QluRXvw9pPoQ?imageView2/1/w/380/h/285
广渠门外  南水关 2室1厅,https://www.danke.com/room/1977299989.html,建筑面积约62㎡,5楼,7号线、17号线,广渠门外站,650米,https://public.danke.com.cn/public-20190327-FjeEiySusjtW6AzLgOlGzy1h8bgh?imageView2/1/w/380/h/285
惠新西街北口  安慧里二区 1室1厅,https://www.danke.com/room/21312388.html,建筑面积约41㎡,11楼,5号线,惠新西街北口站,900米,https://public.danke.com.cn/public-20190705-FtLQ6paDm7B-VrkCiRnveNG2bKUv?imageView2/1/w/380/h/285
临河里  小街之春 1室1厅,https://www.danke.com/room/1695800001.html,建筑面积约53㎡,3楼,八通线,临河里站,850米,https://public.danke.com.cn/public-20190430-FvA_nEXfmJr337cSjyIwxqkqtilK?imageView2/1/w/380/h/285
刘家窑  筑梦园 1室1厅,https://www.danke.com/room/1759793636.html,建筑面积约55㎡,20楼,5号线,刘家窑站,350米,https://public.danke.com.cn/public-20180329-Fq05H8vJwY0Ma-OxmWV185-VHlKE?imageView2/1/w/380/h/285
方庄  紫芳园六区 1室1厅,https://www.danke.com/room/1815137062.html,建筑面积约72㎡,13楼,14号线,东段方庄站,750米,https://public.danke.com.cn/public-20181128-Frp7XxKL8AfVmVeXRBUhOHOho5C2?imageView2/1/w/380/h/285
惠新西街北口  欧陆经典万兴苑 1室1厅,https://www.danke.com/room/2064304649.html,建筑面积约54㎡,11楼,5号线,惠新西街北口站,850米,https://public.danke.com.cn/public-20190605-Fl74y5fOz9akiDP-VClDV_hPcuOE?imageView2/1/w/380/h/285
景泰  蒲黄榆三里 2室1厅,https://www.danke.com/room/1223078456.html,建筑面积约50㎡,6楼,14号线,东段景泰站,600米,https://public.danke.com.cn/public-20180312-Fh2dHqQxBXExbmDjbx_GJgMq_9O2?imageView2/1/w/380/h/285
积水潭  文慧园北路甲6号院 1室1厅,https://www.danke.com/room/1574931534.html,建筑面积约32㎡,1楼,2号线、19号线,积水潭站,1050米,https://public.danke.com.cn/public-20190709-FqjJhuk_CMmiObm5cKiH0mxn-0_O?imageView2/1/w/380/h/285
丰台南路  南开西里 1室1厅,https://www.danke.com/room/1372640182.html,建筑面积约42㎡,4楼,9号线,丰台南路站,1300米,https://public.danke.com.cn/public-20190826-FmRgI5bWOWI4vYjONULO0v3f7ysJ?imageView2/1/w/380/h/285
育新  育新花园 1室1厅,https://www.danke.com/room/732668052.html,建筑面积约48㎡,2楼,8号线,育新站,400米,https://public.danke.com.cn/public-20190819-FvWhytvzMT41GC9dwLKmFOMZ6v00?imageView2/1/w/380/h/285
北苑  华贸城7号院 1室1厅,https://www.danke.com/room/1663021104.html,建筑面积约54㎡,15楼,13号线,北苑站,650米,https://public.danke.com.cn/public-20190115-FgEBnCzZ8tPAIVS4WDL3nQ2BR5Z9?imageView2/1/w/380/h/285
潘家园  潘家园东里 1室1厅,https://www.danke.com/room/922840259.html,建筑面积约54㎡,9楼,10号线,潘家园站,700米,//pangu-s1.danke.com.cn/build/img/room/no-picture-e63a495fc7.jpg??imageView2/1/w/380/h/285
人民大学  双安青年公寓 1室1厅,https://www.danke.com/room/1645363346.html,建筑面积约42㎡,7楼,4号线大兴线、12号线,人民大学站,500米,https://public.danke.com.cn/public-20190818-Fjf9J6A42m3WKo17K8IX3u805t_s?imageView2/1/w/380/h/285
北工大西门  松榆东里 1室1厅,https://www.danke.com/room/1316882510.html,建筑面积约45㎡,3楼,14号线,东段北工大西门站,400米,https://public.danke.com.cn/public-20181111-FlsLNzeCpbG_jm6xpI-bSbkdzRoL?imageView2/1/w/380/h/285
北京西站  北蜂窝中路甲8号院 1室1厅,https://www.danke.com/room/1809477530.html,建筑面积约43㎡,4楼,9号线、7号线,北京西站站,800米,https://public.danke.com.cn/public-20190328-FtqBFWgAquCPpqCszpSCQIExhAE9?imageView2/1/w/380/h/285
达官营  莲花池东路9号院 1室1厅,https://www.danke.com/room/1865271894.html,建筑面积约48㎡,1楼,7号线、16号线,达官营站,900米,https://public.danke.com.cn/public-20180103-Fg2PE-YitIigJIf9OMYT9PbKaz7J?imageView2/1/w/380/h/285
牡丹园  月季园（牡丹园） 2室1厅,https://www.danke.com/room/549890612.html,建筑面积约51㎡,1楼,10号线、19号线,牡丹园站,550米,https://public.danke.com.cn/public-20190302-FvYQ9p_XseYYYP_2weLYq4Gynw3f?imageView2/1/w/380/h/285
角门西  明日嘉园 1室1厅,https://www.danke.com/room/1320324144.html,建筑面积约39㎡,11楼,10号线、4号线大兴线,角门西站,450米,https://public.danke.com.cn/public-20181127-Fihzl3VA68wECdTgFKnBsiHaJd0Z?imageView2/1/w/380/h/285
草桥  南珠苑 1室1厅,https://www.danke.com/room/1543042967.html,建筑面积约58㎡,1楼,10号线、19号线、新机场线,草桥站,700米,https://public.danke.com.cn/public-20190826-FjAXJIJfvk-oaC8TSxxUU2OOCo_l?imageView2/1/w/380/h/285
马家堡  翠林二里 1室1厅,https://www.danke.com/room/1678174952.html,建筑面积约43㎡,2楼,4号线大兴线,马家堡站,750米,https://public.danke.com.cn/public-20181106-FnLaYeLP7warP_P9QluRXvw9pPoQ?imageView2/1/w/380/h/285
